"ID","Category","Name","Severity","Result","Recommended","TestResult","SeverityFinding"
"1000","Features","SMBv1 Support","Passed","Disabled","Disabled","Passed","High"
"1103","Account Policies","Store passwords using reversible encryption","Passed","0","0","Passed","High"
"1101","Account Policies","Account lockout duration","Passed","15","15","Passed","Low"
"1100","Account Policies","Account lockout threshold","Passed","5","10","Passed","Low"
"1104","Account Policies","Allow Administrator account lockout","Passed","1","1","Passed","Medium"
"1102","Account Policies","Reset account lockout counter","Passed","15","15","Passed","Low"
"1200","User Rights Assignment","Access this computer from the network","Medium","BUILTIN\Administrators;BUILTIN\Remote Desktop Users","BUILTIN\Administrators","Failed","Medium"
"1201","User Rights Assignment","Allow log on locally","Passed","BUILTIN\Administrators;BUILTIN\Users","BUILTIN\Users;BUILTIN\Administrators","Passed","Medium"
"1202","User Rights Assignment","Debug programs","Medium","BUILTIN\Administrators","","Failed","Medium"
"1203","User Rights Assignment","Deny access to this computer from the network","Passed","NT AUTHORITY\Local account;BUILTIN\Guests","BUILTIN\Guests;NT AUTHORITY\Local account","Passed","Medium"
"1204","User Rights Assignment","Deny log on as a batch job","Passed","BUILTIN\Guests","BUILTIN\Guests","Passed","Medium"
"1205","User Rights Assignment","Deny log on as a service","Passed","BUILTIN\Guests","BUILTIN\Guests","Passed","Medium"
"1206","User Rights Assignment","Deny log on through Remote Desktop Services","Passed","NT AUTHORITY\Local account;BUILTIN\Guests","BUILTIN\Guests;NT AUTHORITY\Local account","Passed","Medium"
"1300","Security Options","Accounts: Block Microsoft accounts","Passed","3","3","Passed","Low"
"1301","Security Options","Audit: Force audit policy subcategory settings to override audit policy category settings","Passed","1","1","Passed","Low"
"1302","Security Options","Interactive logon: Do not require CTRL+ALT+DEL","Passed","0","0","Passed","Low"
"1303","Security Options","Interactive logon: Don't display last signed-in","Passed","1","1","Passed","Low"
"1304","Security Options","Interactive logon: Don't display username at sign-in","Low","0","1","Failed","Low"
"1305","Security Options","Microsoft network client: Digitally sign communications (always)","Passed","1","1","Passed","Medium"
"1306","Security Options","Microsoft network client: Digitally sign communications (if server agrees)","Passed","1","1","Passed","Medium"
"1307","Security Options","Microsoft network server: Digitally sign communications (always)","Passed","1","1","Passed","Medium"
"1308","Security Options","Microsoft network server: Digitally sign communications (if client agrees)","Passed","1","1","Passed","Medium"
"1309","Security Options","Network access: Do not allow anonymous enumeration of SAM accounts","Passed","1","1","Passed","Medium"
"1310","Security Options","Network access: Do not allow anonymous enumeration of SAM accounts and shares","Passed","1","1","Passed","Medium"
"1311","Security Options","Network access: Do not allow storage of passwords and credentials for network authentication","Passed","1","1","Passed","Medium"
"1324","Security Options","Network access: Restrict anonymous access to Named Pipes and Shares","Passed","1","1","Passed","Medium"
"1325","Security Options","Network access: Restrict clients allowed to make remote calls to SAM","Passed","O:BAG:BAD:(A;;RC;;;BA)","O:BAG:BAD:(A;;RC;;;BA)","Passed","Medium"
"1312","Security Options","Network security: Allow LocalSystem NULL session fallback","Passed","0","0","Passed","Medium"
"1326","Security Options","Network security: Do not store LAN Manager hash value on next password change","Passed","1","1","Passed","High"
"1313","Security Options","Network security: LAN Manager authentication level","Passed","5","5","Passed","Medium"
"1314","Security Options","Network security: LDAP client signing requirements","Passed","1","1","Passed","Medium"
"1315","Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) clients","Passed","537395200","537395200","Passed","Medium"
"1316","Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) servers","Passed","537395200","537395200","Passed","Medium"
"1317","Security Options","Network security: Restrict NTLM: Audit Incoming NTLM Traffic","Medium","0","2","Failed","Medium"
"1318","Security Options","Network security: Restrict NTLM: Audit NTLM authentication in this domain","Medium","0","7","Failed","Medium"
"1319","Security Options","Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers","Medium","0","1","Failed","Medium"
"1320","Security Options","Shutdown: Allow system to be shut down without having to log on","Medium","1","0","Failed","Medium"
"1321","Security Options","User Account Control: Admin Approval Mode for the Built-in Administrator account","Passed","1","1","Passed","Medium"
"1322","Security Options","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","Passed","2","2","Passed","Medium"
"1323","Security Options","User Account Control: Behavior of the elevation prompt for standard users","Passed","0","1","Passed","Medium"
"1400","Windows Firewall","EnableFirewall (Domain Profile, Policy)","Passed","1","1","Passed","Medium"
"1418","Windows Firewall","EnableFirewall (Domain Profile)","Passed","1","1","Passed","Medium"
"1401","Windows Firewall","Inbound Connections (Domain Profile, Policy)","Passed","1","1","Passed","Medium"
"1419","Windows Firewall","Inbound Connections (Domain Profile)","Passed","1","1","Passed","Medium"
"1402","Windows Firewall","Outbound Connections (Domain Profile, Policy)","Passed","0","0","Passed","Medium"
"1420","Windows Firewall","Outbound Connections (Domain Profile)","Passed","0","0","Passed","Medium"
"1403","Windows Firewall","Log size limit (Domain Profile, Policy)","Passed","16384","16384","Passed","Medium"
"1421","Windows Firewall","Log size limit (Domain Profile)","Medium","4096","16384","Failed","Medium"
"1404","Windows Firewall","Log dropped packets (Domain Profile, Policy)","Passed","1","1","Passed","Medium"
"1422","Windows Firewall","Log dropped packets (Domain Profile)","Medium","0","1","Failed","Medium"
