"ID","Category","Name","Severity","Result","Recommended","TestResult","SeverityFinding"
"1.1.1","Account Policies","Length of password history maintained","Passed","Account policy set","","Passed",""
"1.1.2","Account Policies","Maximum password age","Passed","Account policy set","","Passed",""
"1.1.3","Account Policies","Minimum password age","Passed","Account policy set","","Passed",""
"1.1.4","Account Policies","Minimum password length","Passed","Account policy set","","Passed",""
"1.1.5","Account Policies","Password must meet complexity requirements","Passed","Imported security policy into temporary database","","Passed",""
"1.1.5","Account Policies","Password must meet complexity requirements","Passed","Configured security policy","","Passed",""
"1.1.6","Account Policies","Relax minimum password length limits","Passed","Registry value created/modified","","Passed",""
"1.1.7","Account Policies","Store passwords using reversible encryption","Passed","Imported security policy into temporary database","","Passed",""
"1.1.7","Account Policies","Store passwords using reversible encryption","Passed","Configured security policy","","Passed",""
"1.2.1","Account Policies","Account lockout duration","Passed","Account policy set","","Passed",""
"1.2.2","Account Policies","Account lockout threshold","Passed","Account policy set","","Passed",""
"1.2.3","Account Policies","Allow Administrator account lockout","Passed","Imported security policy into temporary database","","Passed",""
"1.2.3","Account Policies","Allow Administrator account lockout","Passed","Configured security policy","","Passed",""
"1.2.4","Account Policies","Reset account lockout counter","Passed","Account policy set","","Passed",""
"2.2.1","User Rights Assignment","Access Credential Manager as a trusted caller","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.1","User Rights Assignment","Access Credential Manager as a trusted caller","Passed","Configured system user right assignment","","Passed",""
"2.2.2","User Rights Assignment","Access this computer from the network","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.2","User Rights Assignment","Access this computer from the network","Passed","Configured system user right assignment","","Passed",""
"2.2.3","User Rights Assignment","Act as part of the operating system","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.3","User Rights Assignment","Act as part of the operating system","Passed","Configured system user right assignment","","Passed",""
"2.2.4","User Rights Assignment","Adjust memory quotas for a process","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.4","User Rights Assignment","Adjust memory quotas for a process","Passed","Configured system user right assignment","","Passed",""
"2.2.5","User Rights Assignment","Allow log on locally","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.5","User Rights Assignment","Allow log on locally","Passed","Configured system user right assignment","","Passed",""
"2.2.6","User Rights Assignment","Allow log on through Remote Desktop Services","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.6","User Rights Assignment","Allow log on through Remote Desktop Services","Passed","Configured system user right assignment","","Passed",""
"2.2.7","User Rights Assignment","Back up files and directories","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.7","User Rights Assignment","Back up files and directories","Passed","Configured system user right assignment","","Passed",""
"2.2.8","User Rights Assignment","Change the system time","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.8","User Rights Assignment","Change the system time","Passed","Configured system user right assignment","","Passed",""
"2.2.9","User Rights Assignment","Change the time zone","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.9","User Rights Assignment","Change the time zone","Passed","Configured system user right assignment","","Passed",""
"2.2.10","User Rights Assignment","Create a pagefile","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.10","User Rights Assignment","Create a pagefile","Passed","Configured system user right assignment","","Passed",""
"2.2.11","User Rights Assignment","Create a token object","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.11","User Rights Assignment","Create a token object","Passed","Configured system user right assignment","","Passed",""
"2.2.12","User Rights Assignment","Create global objects","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.12","User Rights Assignment","Create global objects","Passed","Configured system user right assignment","","Passed",""
"2.2.13","User Rights Assignment","Create permanent shared objects","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.13","User Rights Assignment","Create permanent shared objects","Passed","Configured system user right assignment","","Passed",""
"2.2.14.1","User Rights Assignment","Create symbolic links","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.14.1","User Rights Assignment","Create symbolic links","Passed","Configured system user right assignment","","Passed",""
"2.2.14.2","User Rights Assignment","Create symbolic links (Hyper-V)","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.14.2","User Rights Assignment","Create symbolic links (Hyper-V)","High","Failed to configure system user right assignment","","Failed",""
"2.2.15","User Rights Assignment","Debug programs","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.15","User Rights Assignment","Debug programs","Passed","Configured system user right assignment","","Passed",""
"2.2.16","User Rights Assignment","Deny access to this computer from the network","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.16","User Rights Assignment","Deny access to this computer from the network","Passed","Configured system user right assignment","","Passed",""
"2.2.17","User Rights Assignment","Deny log on as a batch job","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.17","User Rights Assignment","Deny log on as a batch job","Passed","Configured system user right assignment","","Passed",""
"2.2.18","User Rights Assignment","Deny log on as a service","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.18","User Rights Assignment","Deny log on as a service","Passed","Configured system user right assignment","","Passed",""
"2.2.19","User Rights Assignment","Deny log on locally","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.19","User Rights Assignment","Deny log on locally","Passed","Configured system user right assignment","","Passed",""
"2.2.20","User Rights Assignment","Deny log on through Remote Desktop Services","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.20","User Rights Assignment","Deny log on through Remote Desktop Services","Passed","Configured system user right assignment","","Passed",""
"2.2.21","User Rights Assignment","Enable computer and user accounts to be trusted for delegation","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.21","User Rights Assignment","Enable computer and user accounts to be trusted for delegation","Passed","Configured system user right assignment","","Passed",""
"2.2.22","User Rights Assignment","Force shutdown from a remote system","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.22","User Rights Assignment","Force shutdown from a remote system","Passed","Configured system user right assignment","","Passed",""
"2.2.23","User Rights Assignment","Generate security audits","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.23","User Rights Assignment","Generate security audits","Passed","Configured system user right assignment","","Passed",""
"2.2.24","User Rights Assignment","Impersonate a client after authentication","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.24","User Rights Assignment","Impersonate a client after authentication","Passed","Configured system user right assignment","","Passed",""
"2.2.25","User Rights Assignment","Increase scheduling priority","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.25","User Rights Assignment","Increase scheduling priority","Passed","Configured system user right assignment","","Passed",""
"2.2.26","User Rights Assignment","Load and unload device drivers","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.26","User Rights Assignment","Load and unload device drivers","Passed","Configured system user right assignment","","Passed",""
"2.2.27","User Rights Assignment","Lock pages in memory","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.27","User Rights Assignment","Lock pages in memory","Passed","Configured system user right assignment","","Passed",""
"2.2.28","User Rights Assignment","Log on as a batch job","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.28","User Rights Assignment","Log on as a batch job","Passed","Configured system user right assignment","","Passed",""
"2.2.29.1","User Rights Assignment","Log on as a service","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.29.1","User Rights Assignment","Log on as a service","Passed","Configured system user right assignment","","Passed",""
"2.2.29.2","User Rights Assignment","Log on as a service (Hyper-V)","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.29.2","User Rights Assignment","Log on as a service (Hyper-V)","High","Failed to configure system user right assignment","","Failed",""
"2.2.30","User Rights Assignment","Manage auditing and security log","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.30","User Rights Assignment","Manage auditing and security log","Passed","Configured system user right assignment","","Passed",""
"2.2.31","User Rights Assignment","Modify an object label","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.31","User Rights Assignment","Modify an object label","Passed","Configured system user right assignment","","Passed",""
"2.2.32","User Rights Assignment","Modify firmware environment values","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.32","User Rights Assignment","Modify firmware environment values","Passed","Configured system user right assignment","","Passed",""
"2.2.33","User Rights Assignment","Perform volume maintenance tasks","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.33","User Rights Assignment","Perform volume maintenance tasks","Passed","Configured system user right assignment","","Passed",""
"2.2.34","User Rights Assignment","Profile single process","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.34","User Rights Assignment","Profile single process","Passed","Configured system user right assignment","","Passed",""
"2.2.35","User Rights Assignment","Profile system performance","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.35","User Rights Assignment","Profile system performance","Passed","Configured system user right assignment","","Passed",""
"2.2.36","User Rights Assignment","Replace a process level token","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.36","User Rights Assignment","Replace a process level token","Passed","Configured system user right assignment","","Passed",""
"2.2.37","User Rights Assignment","Restore files and directories","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.37","User Rights Assignment","Restore files and directories","Passed","Configured system user right assignment","","Passed",""
"2.2.38","User Rights Assignment","Shut down the system","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.38","User Rights Assignment","Shut down the system","Passed","Configured system user right assignment","","Passed",""
"2.2.39","User Rights Assignment","Take ownership of files or other objects","Passed","Imported user right assignment into temporary database","","Passed",""
"2.2.39","User Rights Assignment","Take ownership of files or other objects","Passed","Configured system user right assignment","","Passed",""
"2.3.1.1","Security Options","Accounts: Block Microsoft accounts","Passed","Registry value created/modified","","Passed",""
"2.3.1.3","Security Options","Accounts: Limit local account use of blank passwords to console logon only","Passed","Registry value created/modified","","Passed",""
"2.3.2.1","Security Options","Audit: Force audit policy subcategory settings to override audit policy category settings","Passed","Registry value created/modified","","Passed",""
"2.3.2.2","Security Options","Audit: Shut down system immediately if unable to log security audits","Passed","Registry value created/modified","","Passed",""
"2.3.4.1","Security Options","Devices: Allowed to format and eject removable media","Passed","Registry value created/modified","","Passed",""
"2.3.4.2","Security Options","Devices: Prevent users from installing printer drivers","Passed","Registry value created/modified","","Passed",""
"2.3.6.1","Security Options","Domain member: Digitally encrypt or sign secure channel data (always)","Passed","Registry value created/modified","","Passed",""
"2.3.6.2","Security Options","Domain member: Digitally encrypt secure channel data (when possible)","Passed","Registry value created/modified","","Passed",""
"2.3.6.3","Security Options","Domain member: Digitally sign secure channel data (when possible)","Passed","Registry value created/modified","","Passed",""
