"ID","Category","Name","Severity","Result","Recommended","TestResult","SeverityFinding"
"1000","Features","SMBv1 Support","","Disabled","Disabled","",""
"1103","Account Policies","Store passwords using reversible encryption","","0","0","",""
"1101","Account Policies","Account lockout duration","","10","15","",""
"1100","Account Policies","Account lockout threshold","","10","10","",""
"1104","Account Policies","Allow Administrator account lockout","","1","1","",""
"1102","Account Policies","Reset account lockout counter","","10","15","",""
"1200","User Rights Assignment","Access this computer from the network","","S-1-1-0;S-1-5-32-544;S-1-5-32-545;S-1-5-32-551","BUILTIN\Administrators","",""
"1201","User Rights Assignment","Allow log on locally","","Guest;S-1-5-32-544;S-1-5-32-545;S-1-5-32-551","BUILTIN\Users;BUILTIN\Administrators","",""
"1202","User Rights Assignment","Debug programs","","S-1-5-32-544","","",""
"1203","User Rights Assignment","Deny access to this computer from the network","","Guest","BUILTIN\Guests;NT AUTHORITY\Local account","",""
"1204","User Rights Assignment","Deny log on as a batch job","","","BUILTIN\Guests","",""
"1205","User Rights Assignment","Deny log on as a service","","","BUILTIN\Guests","",""
"1206","User Rights Assignment","Deny log on through Remote Desktop Services","","","BUILTIN\Guests;NT AUTHORITY\Local account","",""
"1300","Security Options","Accounts: Block Microsoft accounts","","0","3","",""
"1301","Security Options","Audit: Force audit policy subcategory settings to override audit policy category settings","","1","1","",""
"1302","Security Options","Interactive logon: Do not require CTRL+ALT+DEL","","1","0","",""
"1303","Security Options","Interactive logon: Don't display last signed-in","","0","1","",""
"1304","Security Options","Interactive logon: Don't display username at sign-in","","0","1","",""
"1305","Security Options","Microsoft network client: Digitally sign communications (always)","","0","1","",""
"1306","Security Options","Microsoft network client: Digitally sign communications (if server agrees)","","1","1","",""
"1307","Security Options","Microsoft network server: Digitally sign communications (always)","","0","1","",""
"1308","Security Options","Microsoft network server: Digitally sign communications (if client agrees)","","0","1","",""
"1309","Security Options","Network access: Do not allow anonymous enumeration of SAM accounts","","1","1","",""
"1310","Security Options","Network access: Do not allow anonymous enumeration of SAM accounts and shares","","0","1","",""
"1311","Security Options","Network access: Do not allow storage of passwords and credentials for network authentication","","0","1","",""
"1324","Security Options","Network access: Restrict anonymous access to Named Pipes and Shares","","1","1","",""
"1325","Security Options","Network access: Restrict clients allowed to make remote calls to SAM","","","O:BAG:BAD:(A;;RC;;;BA)","",""
"1312","Security Options","Network security: Allow LocalSystem NULL session fallback","","0","0","",""
"1326","Security Options","Network security: Do not store LAN Manager hash value on next password change","","1","1","",""
"1313","Security Options","Network security: LAN Manager authentication level","","3","5","",""
"1314","Security Options","Network security: LDAP client signing requirements","","1","1","",""
"1315","Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) clients","","536870912","537395200","",""
"1316","Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) servers","","536870912","537395200","",""
"1317","Security Options","Network security: Restrict NTLM: Audit Incoming NTLM Traffic","","0","2","",""
"1318","Security Options","Network security: Restrict NTLM: Audit NTLM authentication in this domain","","0","7","",""
"1319","Security Options","Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers","","0","1","",""
"1320","Security Options","Shutdown: Allow system to be shut down without having to log on","","1","0","",""
"1321","Security Options","User Account Control: Admin Approval Mode for the Built-in Administrator account","","0","1","",""
"1322","Security Options","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","","5","2","",""
"1323","Security Options","User Account Control: Behavior of the elevation prompt for standard users","","3","1","",""
"1400","Windows Firewall","EnableFirewall (Domain Profile, Policy)","","0","1","",""
"1418","Windows Firewall","EnableFirewall (Domain Profile)","","1","1","",""
"1401","Windows Firewall","Inbound Connections (Domain Profile, Policy)","","1","1","",""
"1419","Windows Firewall","Inbound Connections (Domain Profile)","","1","1","",""
"1402","Windows Firewall","Outbound Connections (Domain Profile, Policy)","","0","0","",""
"1420","Windows Firewall","Outbound Connections (Domain Profile)","","0","0","",""
"1403","Windows Firewall","Log size limit (Domain Profile, Policy)","","4096","16384","",""
"1421","Windows Firewall","Log size limit (Domain Profile)","","4096","16384","",""
"1404","Windows Firewall","Log dropped packets (Domain Profile, Policy)","","0","1","",""
"1422","Windows Firewall","Log dropped packets (Domain Profile)","","0","1","",""
"1405","Windows Firewall","Log successful connections (Domain Profile, Policy)","","0","1","",""
"1423","Windows Firewall","Log successful connections (Domain Profile)","","0","1","",""
"1406","Windows Firewall","EnableFirewall (Private Profile, Policy)","","0","1","",""
